,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Gravity,Little Voice,2007-07-03,['Sara Bareilles'],4oa14QBfWRDfJy2agySy0L,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,audio_features,4oa14QBfWRDfJy2agySy0L,spotify:track:4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/tracks/4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/audio-analysis/4oa14QBfWRDfJy2agySy0L,232760,4
21,The Way I Am,Girls And Boys,2007-05-16,['Ingrid Michaelson'],2E9KlM0BvKZKcZAQRu3OWV,https://i.scdn.co/image/ab67616d0000b273a2df53e1f84755656af03e91,0.886,0.259,5,-9.246,1,0.0423,0.731,5.49e-06,0.108,0.305,119.894,audio_features,2E9KlM0BvKZKcZAQRu3OWV,spotify:track:2E9KlM0BvKZKcZAQRu3OWV,https://api.spotify.com/v1/tracks/2E9KlM0BvKZKcZAQRu3OWV,https://api.spotify.com/v1/audio-analysis/2E9KlM0BvKZKcZAQRu3OWV,135387,4
22,Mercy,Rockferry,2008-01-01,['Duffy'],78twQ5XCFJMTE37ZSU0gsj,https://i.scdn.co/image/ab67616d0000b27387c95c59b33bdfdafc25a813,0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.911,audio_features,78twQ5XCFJMTE37ZSU0gsj,spotify:track:78twQ5XCFJMTE37ZSU0gsj,https://api.spotify.com/v1/tracks/78twQ5XCFJMTE37ZSU0gsj,https://api.spotify.com/v1/audio-analysis/78twQ5XCFJMTE37ZSU0gsj,219920,4
23,Say It Again,Unfold,2008-01-01,['Marié Digby'],1vkBeaVW2eUmBtUc2f366k,https://i.scdn.co/image/ab67616d0000b273d1f34c7a6e46e46f6b985a89,0.461,0.859,0,-3.18,1,0.0364,0.0561,0.0,0.124,0.789,172.094,audio_features,1vkBeaVW2eUmBtUc2f366k,spotify:track:1vkBeaVW2eUmBtUc2f366k,https://api.spotify.com/v1/tracks/1vkBeaVW2eUmBtUc2f366k,https://api.spotify.com/v1/audio-analysis/1vkBeaVW2eUmBtUc2f366k,221760,4
24,Pocketful of Sunshine,Pocketful Of Sunshine,2007-04-27,['Natasha Bedingfield'],1uigwk5hNV84zRd5YQQRTk,https://i.scdn.co/image/ab67616d0000b273861f87fea3ad0f7b23453780,0.721,0.88,9,-3.896,0,0.0454,0.191,0.0,0.0769,0.655,110.021,audio_features,1uigwk5hNV84zRd5YQQRTk,spotify:track:1uigwk5hNV84zRd5YQQRTk,https://api.spotify.com/v1/tracks/1uigwk5hNV84zRd5YQQRTk,https://api.spotify.com/v1/audio-analysis/1uigwk5hNV84zRd5YQQRTk,202907,4
25,Ashes And Wine,One Cell In The Sea,2007,['A Fine Frenzy'],1l9Q5NyhsyodDzIrdtJ6Ub,https://i.scdn.co/image/ab67616d0000b273119ad2ebc0d33edf847ed8c6,0.528,0.494,8,-8.262,1,0.0329,0.128,9.81e-06,0.379,0.201,140.153,audio_features,1l9Q5NyhsyodDzIrdtJ6Ub,spotify:track:1l9Q5NyhsyodDzIrdtJ6Ub,https://api.spotify.com/v1/tracks/1l9Q5NyhsyodDzIrdtJ6Ub,https://api.spotify.com/v1/audio-analysis/1l9Q5NyhsyodDzIrdtJ6Ub,260493,4
26,Between the Lines,Little Voice,2007-07-03,['Sara Bareilles'],2t3b5MZMzsArvQflOUo804,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351,0.514,0.576,6,-5.252,1,0.031,0.194,1.14e-06,0.111,0.294,129.919,audio_features,2t3b5MZMzsArvQflOUo804,spotify:track:2t3b5MZMzsArvQflOUo804,https://api.spotify.com/v1/tracks/2t3b5MZMzsArvQflOUo804,https://api.spotify.com/v1/audio-analysis/2t3b5MZMzsArvQflOUo804,274747,4
27,Spell,Unfold,2008-01-01,['Marié Digby'],5Q7Yaz5Dj21loWdCEcjsdx,https://i.scdn.co/image/ab67616d0000b273d1f34c7a6e46e46f6b985a89,0.559,0.245,9,-10.607,1,0.0265,0.906,8.46e-05,0.078,0.0792,75.959,audio_features,5Q7Yaz5Dj21loWdCEcjsdx,spotify:track:5Q7Yaz5Dj21loWdCEcjsdx,https://api.spotify.com/v1/tracks/5Q7Yaz5Dj21loWdCEcjsdx,https://api.spotify.com/v1/audio-analysis/5Q7Yaz5Dj21loWdCEcjsdx,277000,4
28,Amnesia,I Will (U.S. Version),2006-11-06,['Mozella'],1LvRDT8EGtbWg28yoixskN,https://i.scdn.co/image/ab67616d0000b273b4dddfc5c237b77b3a24fc82,0.633,0.846,6,-3.717,1,0.136,0.012,1.53e-06,0.23,0.87,178.028,audio_features,1LvRDT8EGtbWg28yoixskN,spotify:track:1LvRDT8EGtbWg28yoixskN,https://api.spotify.com/v1/tracks/1LvRDT8EGtbWg28yoixskN,https://api.spotify.com/v1/audio-analysis/1LvRDT8EGtbWg28yoixskN,206973,4
29,Who Knows?,Pocketful Of Sunshine,2007-04-27,['Natasha Bedingfield'],0Aclrv3dnLHuO2QOAr9HpT,https://i.scdn.co/image/ab67616d0000b2731099e899b9f7cf24f27ff3cd,0.81,0.597,0,-5.282,0,0.062,0.0613,0.0,0.0847,0.945,108.044,audio_features,0Aclrv3dnLHuO2QOAr9HpT,spotify:track:0Aclrv3dnLHuO2QOAr9HpT,https://api.spotify.com/v1/tracks/0Aclrv3dnLHuO2QOAr9HpT,https://api.spotify.com/v1/audio-analysis/0Aclrv3dnLHuO2QOAr9HpT,226413,4
30,The Fear,"It's Not Me, It's You",2009-01-26,['Lily Allen'],7bW6MqAdTclmHVHAOkIyPS,https://i.scdn.co/image/ab67616d0000b2737124b6bf785117033d003590,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,audio_features,7bW6MqAdTclmHVHAOkIyPS,spotify:track:7bW6MqAdTclmHVHAOkIyPS,https://api.spotify.com/v1/tracks/7bW6MqAdTclmHVHAOkIyPS,https://api.spotify.com/v1/audio-analysis/7bW6MqAdTclmHVHAOkIyPS,207120,4
31,All Good Things (Come To An End),Loose,2006-01-01,['Nelly Furtado'],6kEpjptnAwt11Atr4cEMe1,https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2,0.661,0.649,9,-7.668,0,0.0342,0.245,1.22e-05,0.11,0.388,100.893,audio_features,6kEpjptnAwt11Atr4cEMe1,spotify:track:6kEpjptnAwt11Atr4cEMe1,https://api.spotify.com/v1/tracks/6kEpjptnAwt11Atr4cEMe1,https://api.spotify.com/v1/audio-analysis/6kEpjptnAwt11Atr4cEMe1,311187,4
32,Put Your Arms Around Me,Pocketful Of Sunshine,2007-04-27,['Natasha Bedingfield'],5PVQ3JpBE2vFtaIlS2EYdG,https://i.scdn.co/image/ab67616d0000b273861f87fea3ad0f7b23453780,0.758,0.703,0,-4.182,1,0.0492,0.15,0.0,0.0705,0.708,94.998,audio_features,5PVQ3JpBE2vFtaIlS2EYdG,spotify:track:5PVQ3JpBE2vFtaIlS2EYdG,https://api.spotify.com/v1/tracks/5PVQ3JpBE2vFtaIlS2EYdG,https://api.spotify.com/v1/audio-analysis/5PVQ3JpBE2vFtaIlS2EYdG,222733,4
33,Other Side Of The World,Eye To The Telescope,2005-01-01,['KT Tunstall'],4A9E08l34BkPsCDAmOpHxb,https://i.scdn.co/image/ab67616d0000b273183730e8038fa632b2c227da,0.501,0.684,2,-5.368,1,0.0302,0.485,0.0,0.083,0.369,80.039,audio_features,4A9E08l34BkPsCDAmOpHxb,spotify:track:4A9E08l34BkPsCDAmOpHxb,https://api.spotify.com/v1/tracks/4A9E08l34BkPsCDAmOpHxb,https://api.spotify.com/v1/audio-analysis/4A9E08l34BkPsCDAmOpHxb,214560,4
