,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,Maneater,Loose,2006-01-01,['Nelly Furtado'],1M9uq2yCiOhsO6BFozo2OE,https://i.scdn.co/image/ab67616d0000b27395c8b0b2138284842a5eef49,0.792,0.77,6,-4.811,1,0.0392,0.0318,0.000194,0.122,0.732,132.793,audio_features,1M9uq2yCiOhsO6BFozo2OE,spotify:track:1M9uq2yCiOhsO6BFozo2OE,https://api.spotify.com/v1/tracks/1M9uq2yCiOhsO6BFozo2OE,https://api.spotify.com/v1/audio-analysis/1M9uq2yCiOhsO6BFozo2OE,258840,4
21,"Honey, Honey",Waterloo,1974-01-01,['ABBA'],2KgGzC2tP6DYbatyvdap3O,https://i.scdn.co/image/ab67616d0000b273de7c45e97d915ae2b68be530,0.473,0.804,5,-7.697,1,0.0473,0.324,2.12e-06,0.393,0.735,140.55,audio_features,2KgGzC2tP6DYbatyvdap3O,spotify:track:2KgGzC2tP6DYbatyvdap3O,https://api.spotify.com/v1/tracks/2KgGzC2tP6DYbatyvdap3O,https://api.spotify.com/v1/audio-analysis/2KgGzC2tP6DYbatyvdap3O,176467,4
22,Sex on Fire,Only By The Night,2008-09-23,['Kings of Leon'],0ntQJM78wzOLVeCUAW7Y45,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,audio_features,0ntQJM78wzOLVeCUAW7Y45,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,203347,4
23,Wannabe,Spice,1996-01-01,['Spice Girls'],1Je1IMUlBXcx1Fz0WE7oPT,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4
24,Bubblegum Bitch,Electra Heart (Deluxe),2012-04-30,['MARINA'],6IbnUaczZBT34DhaD6S18F,https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,audio_features,6IbnUaczZBT34DhaD6S18F,spotify:track:6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/tracks/6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/audio-analysis/6IbnUaczZBT34DhaD6S18F,154667,4
25,Run the World (Girls),4,2011-06-24,['Beyoncé'],1uXbwHHfgsXcUKfSZw5ZJ0,https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,audio_features,1uXbwHHfgsXcUKfSZw5ZJ0,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/tracks/1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/audio-analysis/1uXbwHHfgsXcUKfSZw5ZJ0,236093,4
26,Dancing Queen,Arrival,1976,['ABBA'],4NtUY5IGzHCaqfZemmAu56,https://i.scdn.co/image/ab67616d0000b2733c60391b048d33edff6f3d62,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,audio_features,4NtUY5IGzHCaqfZemmAu56,spotify:track:4NtUY5IGzHCaqfZemmAu56,https://api.spotify.com/v1/tracks/4NtUY5IGzHCaqfZemmAu56,https://api.spotify.com/v1/audio-analysis/4NtUY5IGzHCaqfZemmAu56,230693,4
27,Don't Go Breaking My Heart,Rock Of The Westies (Remastered),1975-10-24,['Elton John'],5nPdMALTEd7HOjn16oNf2X,https://i.scdn.co/image/ab67616d0000b2733cf2e0671ff7ee3cef95e6e7,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,audio_features,5nPdMALTEd7HOjn16oNf2X,spotify:track:5nPdMALTEd7HOjn16oNf2X,https://api.spotify.com/v1/tracks/5nPdMALTEd7HOjn16oNf2X,https://api.spotify.com/v1/audio-analysis/5nPdMALTEd7HOjn16oNf2X,275440,4
28,Gimme! Gimme! Gimme! (A Man After Midnight) - From 'Mamma Mia!' Original Motion Picture Soundtrack,Mamma Mia! The Movie Soundtrack,2008-01-01,['Cast of Mamma Mia! The Movie'],7lkeI7MsLOZ5gyh9ejaf3W,https://i.scdn.co/image/ab67616d0000b273ddc54feece71dda4290d0579,0.631,0.838,2,-4.791,0,0.0292,0.0205,0.000558,0.423,0.524,120.045,audio_features,7lkeI7MsLOZ5gyh9ejaf3W,spotify:track:7lkeI7MsLOZ5gyh9ejaf3W,https://api.spotify.com/v1/tracks/7lkeI7MsLOZ5gyh9ejaf3W,https://api.spotify.com/v1/audio-analysis/7lkeI7MsLOZ5gyh9ejaf3W,231720,4
29,Womanizer,Circus (Deluxe Version),2008-12-02,['Britney Spears'],4fixebDZAVToLbUCuEloa2,https://i.scdn.co/image/ab67616d0000b27354c6edd554935d73e159e199,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,audio_features,4fixebDZAVToLbUCuEloa2,spotify:track:4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/audio-analysis/4fixebDZAVToLbUCuEloa2,224400,4
30,Lay All Your Love On Me,ABBA Gold,2008-01-01,['ABBA'],2245x0g1ft0HC7sf79zbYN,https://i.scdn.co/image/ab67616d0000b273f7ecaf9daf2c1d5ca89f7312,0.695,0.701,0,-6.435,1,0.0281,0.0187,0.0464,0.251,0.58,133.0,audio_features,2245x0g1ft0HC7sf79zbYN,spotify:track:2245x0g1ft0HC7sf79zbYN,https://api.spotify.com/v1/tracks/2245x0g1ft0HC7sf79zbYN,https://api.spotify.com/v1/audio-analysis/2245x0g1ft0HC7sf79zbYN,272507,4
